03/26/2020 6:17:25,Emma,100,"Cookies, Snacks & Candy",Pre-consumer,Excess/over-order,243
02/19/2020 16:30:17,Joe,100,Produce: Fruits and Vegetables,Pre-consumer,Improper Storage,84
01/8/2021 10:54:29,Bryan,103,Bread & Bakery,Pre-consumer,Storage Failure,177
01/6/2021 2:11:47,Danielle,103,"Dairy, Eggs & Cheese",Pre-consumer,Improper Storage,272
07/22/2021 0:50:0,Joe,105,Grains & Pasta,Pre-consumer,Contamination,102
04/8/2020 17:1:45,Steve,104,Prepared Meal,Post-consumer,Customer Meal Disposal,282
03/15/2021 16:29:32,Christy,100,Canned Good & Soups,Pre-consumer,Excess/over-order,236
03/20/2021 2:12:28,Steve,103,Beverages,Pre-consumer,Storage Failure,3
10/11/2020 10:45:42,Steve,103,"Beer, Wine & Spirits",Pre-consumer,Contamination,202
08/13/2020 6:21:37,Bryan,104,Meat,Pre-consumer,Expiration,288
06/6/2020 2:29:46,Danielle,101,Prepared Meal,Post-consumer,Customer Meal Disposal,230
10/16/2021 8:48:23,Joe,102,Produce: Fruits and Vegetables,Pre-consumer,Excess/over-order,206
02/28/2020 2:20:29,Danielle,105,Prepared Meal,Post-consumer,Customer Meal Disposal,49
12/9/2020 18:20:43,Emma,105,Grains & Pasta,Pre-consumer,Improper Storage,100
12/3/2020 0:19:47,Bryan,103,Produce: Fruits and Vegetables,Pre-consumer,Storage Failure,304
02/25/2020 22:55:24,Emma,104,Breafast & Cereal,Pre-consumer,Improper Storage,270
04/5/2021 6:39:25,Christy,103,"Dairy, Eggs & Cheese",Pre-consumer,Improper Storage,184
04/3/2020 16:28:23,Joe,104,Prepared Meal,Post-consumer,Customer Meal Disposal,149
05/31/2020 22:27:26,Emma,102,Seafood,Pre-consumer,Expiration,86
01/10/2021 8:15:49,Christy,105,Beverages,Pre-consumer,Storage Failure,305
11/23/2020 2:35:1,Joe,105,"Beer, Wine & Spirits",Pre-consumer,Expiration,76
06/9/2021 20:26:17,Joe,103,Prepared Meal,Post-consumer,Customer Meal Disposal,67
12/11/2021 3:0:37,Emma,100,Condiments/Spices & Bake,Pre-consumer,Improper Storage,154
08/11/2021 17:39:58,Emma,102,Grains & Pasta,Pre-consumer,Excess/over-order,180
12/21/2021 6:42:20,Joe,102,Produce: Fruits and Vegetables,Pre-consumer,Contamination,74
07/10/2021 7:10:59,Bryan,102,Frozen Foods,Pre-consumer,Contamination,128
01/31/2021 6:45:34,Bryan,104,"Cookies, Snacks & Candy",Pre-consumer,Excess/over-order,135
07/17/2020 16:46:56,Christy,105,Condiments/Spices & Bake,Pre-consumer,Contamination,133
01/16/2021 12:3:17,Steve,103,Grains & Pasta,Pre-consumer,Improper Storage,185
09/27/2020 14:54:4,Danielle,105,Canned Good & Soups,Pre-consumer,Expiration,93
02/11/2021 11:12:32,Emma,105,"Dairy, Eggs & Cheese",Pre-consumer,Improper Storage,203
11/15/2020 16:13:48,Joe,100,Frozen Foods,Pre-consumer,Contamination,276
12/12/2021 1:28:21,Steve,104,"Dairy, Eggs & Cheese",Pre-consumer,Expiration,6
05/17/2021 19:37:36,Steve,104,Deli,Pre-consumer,Expiration,312
05/15/2020 5:3:29,Emma,105,Prepared Meal,Post-consumer,Customer Meal Disposal,261
06/6/2021 1:21:55,Steve,102,"Dairy, Eggs & Cheese",Pre-consumer,Contamination,15
08/1/2021 23:40:45,Christy,101,"Beer, Wine & Spirits",Pre-consumer,Expiration,231
07/6/2020 7:35:30,Bryan,100,Condiments/Spices & Bake,Pre-consumer,Excess/over-order,314
03/30/2020 9:32:6,Emma,102,"Cookies, Snacks & Candy",Pre-consumer,Excess/over-order,42
10/26/2020 23:37:35,Joe,104,"Dairy, Eggs & Cheese",Pre-consumer,Excess/over-order,115
12/24/2021 1:51:58,Christy,103,"Dairy, Eggs & Cheese",Pre-consumer,Excess/over-order,101
08/18/2021 15:3:31,Bryan,102,"Cookies, Snacks & Candy",Pre-consumer,Contamination,13
08/21/2020 0:0:20,Danielle,101,Condiments/Spices & Bake,Pre-consumer,Storage Failure,30
12/4/2021 10:21:10,Christy,102,Meat,Pre-consumer,Excess/over-order,17
05/22/2020 16:48:23,Bryan,101,"Dairy, Eggs & Cheese",Pre-consumer,Storage Failure,20
12/5/2020 7:35:7,Emma,104,Frozen Foods,Pre-consumer,Excess/over-order,103
06/25/2020 9:56:18,Bryan,102,Grains & Pasta,Pre-consumer,Storage Failure,39
05/12/2020 20:20:51,Steve,104,Breafast & Cereal,Pre-consumer,Expiration,192
01/23/2021 14:44:47,Steve,101,"Beer, Wine & Spirits",Pre-consumer,Contamination,50
06/20/2021 15:5:20,Emma,100,Produce: Fruits and Vegetables,Pre-consumer,Improper Storage,200
07/25/2020 20:10:55,Danielle,100,Deli,Pre-consumer,Storage Failure,198
09/7/2020 18:42:45,Christy,101,Meat,Pre-consumer,Contamination,312
12/24/2021 19:2:1,Bryan,100,Breafast & Cereal,Pre-consumer,Excess/over-order,18
11/3/2021 2:53:23,Christy,101,Prepared Meal,Post-consumer,Customer Meal Disposal,142
